customer_id,name,signup_date,tier,status,industry,region
CUST_0001,Acme Corp 1,2023-07-31,Enterprise,Active,Manufacturing,Asia Pacific
CUST_0002,TechStart Inc 2,2024-01-24,Free,Churned,Manufacturing,North America
CUST_0003,Global Solutions 3,2023-07-04,Basic,Active,Finance,Latin America
CUST_0004,DataFlow Systems 4,2023-11-14,Free,Active,Healthcare,Latin America
CUST_0005,CloudNine Ltd 5,2023-12-18,Pro,Active,Manufacturing,Asia Pacific
CUST_0006,InnovateCo 6,2023-01-06,Enterprise,Active,Technology,Asia Pacific
CUST_0007,Quantum Analytics 7,2024-06-05,Basic,Active,Manufacturing,Europe
CUST_0008,Vertex Technologies 8,2024-08-18,Basic,Active,Retail,Latin America
CUST_0009,Fusion Dynamics 9,2024-06-27,Basic,Active,Finance,North America
CUST_0010,Alpha Ventures 10,2023-08-09,Enterprise,Active,Retail,North America
CUST_0011,Beta Systems 11,2024-11-01,Free,Active,Technology,Asia Pacific
CUST_0012,Gamma Industries 12,2024-09-02,Basic,Active,Healthcare,Asia Pacific
CUST_0013,Delta Innovations 13,2023-02-17,Free,Active,Retail,North America
CUST_0014,Epsilon Corp 14,2023-03-12,Free,Active,Finance,Asia Pacific
CUST_0015,Zeta Solutions 15,2024-10-20,Pro,Active,Retail,Asia Pacific
CUST_0016,Eta Technologies 16,2023-08-17,Basic,Active,Finance,Asia Pacific
CUST_0017,Theta Analytics 17,2024-02-20,Enterprise,Active,Manufacturing,Asia Pacific
CUST_0018,Iota Systems 18,2023-03-02,Pro,Active,Finance,Latin America
CUST_0019,Kappa Corp 19,2024-04-29,Pro,Active,Manufacturing,North America
CUST_0020,Lambda Innovations 20,2024-11-11,Free,Active,Retail,Asia Pacific
CUST_0021,Vertex Technologies 21,2023-04-20,Enterprise,Active,Finance,Asia Pacific
CUST_0022,Kappa Corp 22,2024-04-23,Pro,Active,Retail,Asia Pacific
CUST_0023,Zeta Solutions 23,2023-03-09,Basic,Active,Manufacturing,Latin America
CUST_0024,DataFlow Systems 24,2023-03-10,Enterprise,Active,Healthcare,Europe
CUST_0025,Fusion Dynamics 25,2024-01-14,Free,Active,Manufacturing,Europe
CUST_0026,CloudNine Ltd 26,2023-12-18,Enterprise,Active,Technology,Asia Pacific
CUST_0027,TechStart Inc 27,2023-02-18,Enterprise,Active,Retail,Asia Pacific
CUST_0028,Eta Technologies 28,2023-01-14,Free,Active,Finance,Asia Pacific
CUST_0029,Global Solutions 29,2023-04-30,Free,Churned,Retail,North America
CUST_0030,Acme Corp 30,2023-05-09,Pro,Active,Retail,Europe
CUST_0031,Global Solutions 31,2024-02-12,Pro,Active,Finance,Asia Pacific
CUST_0032,Beta Systems 32,2024-01-12,Enterprise,Churned,Technology,Asia Pacific
CUST_0033,Lambda Innovations 33,2024-07-05,Enterprise,Active,Retail,Europe
CUST_0034,DataFlow Systems 34,2023-07-18,Basic,Churned,Retail,Asia Pacific
CUST_0035,Delta Innovations 35,2024-10-23,Basic,Active,Healthcare,Latin America
CUST_0036,Zeta Solutions 36,2024-11-08,Free,Churned,Retail,Europe
CUST_0037,Alpha Ventures 37,2024-07-21,Pro,Active,Finance,Latin America
CUST_0038,Beta Systems 38,2023-12-21,Enterprise,Active,Healthcare,Latin America
CUST_0039,Quantum Analytics 39,2024-05-19,Basic,Churned,Finance,Asia Pacific
CUST_0040,Global Solutions 40,2024-02-22,Pro,Active,Healthcare,Latin America
CUST_0041,Quantum Analytics 41,2024-06-04,Pro,Active,Retail,Latin America
CUST_0042,Fusion Dynamics 42,2024-06-10,Pro,Active,Manufacturing,Asia Pacific
CUST_0043,Global Solutions 43,2024-10-08,Enterprise,Churned,Healthcare,Europe
CUST_0044,Fusion Dynamics 44,2023-10-03,Pro,Active,Finance,Europe
CUST_0045,Quantum Analytics 45,2023-03-01,Free,Active,Technology,Asia Pacific
CUST_0046,CloudNine Ltd 46,2024-05-17,Basic,Active,Healthcare,Europe
CUST_0047,Eta Technologies 47,2023-09-21,Free,Active,Healthcare,Latin America
CUST_0048,Alpha Ventures 48,2023-11-17,Basic,Active,Manufacturing,Latin America
CUST_0049,Vertex Technologies 49,2023-02-19,Pro,Active,Technology,North America
CUST_0050,DataFlow Systems 50,2024-11-26,Pro,Active,Manufacturing,Latin America
CUST_0051,Gamma Industries 51,2024-04-06,Free,Active,Technology,Europe
CUST_0052,Zeta Solutions 52,2023-12-14,Enterprise,Active,Finance,Europe
CUST_0053,Delta Innovations 53,2023-04-11,Enterprise,Active,Technology,North America
CUST_0054,Epsilon Corp 54,2023-01-18,Enterprise,Churned,Healthcare,North America
CUST_0055,Eta Technologies 55,2023-06-13,Enterprise,Active,Retail,Europe
CUST_0056,Alpha Ventures 56,2024-12-01,Free,Churned,Finance,Europe
CUST_0057,Vertex Technologies 57,2023-08-15,Enterprise,Active,Finance,Latin America
CUST_0058,Theta Analytics 58,2024-09-08,Basic,Active,Retail,North America
CUST_0059,Kappa Corp 59,2024-08-03,Pro,Churned,Manufacturing,Europe
CUST_0060,Eta Technologies 60,2023-10-09,Pro,Churned,Technology,Latin America
CUST_0061,DataFlow Systems 61,2024-04-15,Basic,Churned,Technology,Europe
CUST_0062,Acme Corp 62,2023-05-24,Basic,Active,Technology,North America
CUST_0063,Zeta Solutions 63,2024-08-09,Basic,Active,Healthcare,Latin America
CUST_0064,Global Solutions 64,2024-07-13,Basic,Active,Retail,Latin America
CUST_0065,Alpha Ventures 65,2023-12-08,Free,Active,Retail,North America
CUST_0066,DataFlow Systems 66,2023-06-17,Free,Active,Finance,Europe
CUST_0067,Kappa Corp 67,2024-11-14,Basic,Active,Healthcare,Europe
CUST_0068,DataFlow Systems 68,2023-09-27,Free,Active,Manufacturing,Europe
CUST_0069,CloudNine Ltd 69,2023-05-27,Pro,Active,Manufacturing,Asia Pacific
CUST_0070,Theta Analytics 70,2024-09-04,Free,Churned,Healthcare,North America
CUST_0071,Beta Systems 71,2024-07-21,Free,Churned,Retail,Asia Pacific
CUST_0072,Alpha Ventures 72,2024-04-23,Enterprise,Active,Technology,Asia Pacific
CUST_0073,Eta Technologies 73,2024-11-24,Pro,Active,Technology,Asia Pacific
CUST_0074,Fusion Dynamics 74,2024-05-25,Enterprise,Active,Manufacturing,Asia Pacific
CUST_0075,DataFlow Systems 75,2023-06-03,Enterprise,Active,Healthcare,Asia Pacific
CUST_0076,CloudNine Ltd 76,2023-04-14,Enterprise,Churned,Retail,Latin America
CUST_0077,Acme Corp 77,2024-07-18,Free,Churned,Retail,Asia Pacific
CUST_0078,Beta Systems 78,2024-03-05,Pro,Active,Manufacturing,Latin America
CUST_0079,Gamma Industries 79,2023-12-07,Basic,Active,Manufacturing,Europe
CUST_0080,Theta Analytics 80,2023-11-28,Enterprise,Churned,Technology,Asia Pacific
CUST_0081,Kappa Corp 81,2024-08-19,Basic,Active,Technology,Europe
CUST_0082,Kappa Corp 82,2023-09-15,Enterprise,Active,Retail,North America
CUST_0083,Zeta Solutions 83,2023-07-18,Enterprise,Active,Finance,Europe
CUST_0084,Acme Corp 84,2024-07-21,Basic,Active,Healthcare,North America
